Player Name,Team,Sport,Match Date,Position,Country,Points/Goals,Assists,Minutes Played,Match Result
Player_22,Panthers,Cricket,01-01-2023,Guard,Brazil,51,1,39,Win
Player_2,Warriors,Football,02-01-2023,Bowler,Germany,92,14,91,Draw
Player_32,Storm,Cricket,03-01-2023,Forward,UK,14,7,26,Loss
Player_15,Storm,Football,04-01-2023,Batsman,UK,71,7,35,Draw
Player_43,Hawks,Basketball,05-01-2023,Batsman,Germany,60,16,17,Draw
Player_23,Hawks,Basketball,06-01-2023,Midfielder,Australia,20,11,56,Win
Player_46,Warriors,Cricket,07-01-2023,Midfielder,Australia,82,18,113,Loss
Player_32,Blazers,Basketball,08-01-2023,Guard,Brazil,86,9,85,Draw
Player_7,Warriors,Football,09-01-2023,Midfielder,Brazil,74,8,100,Draw
Player_17,Warriors,Cricket,10-01-2023,Goalkeeper,Australia,74,4,81,Loss
Player_42,Blazers,Basketball,11-01-2023,Guard,Germany,87,5,98,Win
Player_14,Warriors,Football,12-01-2023,Forward,Brazil,99,19,55,Loss
Player_32,Panthers,Cricket,13-01-2023,Goalkeeper,Brazil,23,1,77,Draw
Player_45,Warriors,Football,14-01-2023,Forward,Australia,2,12,42,Loss
Player_50,Blazers,Football,15-01-2023,Midfielder,Australia,21,5,10,Loss
Player_39,Blazers,Basketball,16-01-2023,Bowler,Brazil,52,4,28,Loss
Player_18,Falcons,Cricket,17-01-2023,Guard,UK,1,0,40,Win
Player_35,Titans,Cricket,18-01-2023,Midfielder,UK,87,5,89,Win
Player_11,Panthers,Basketball,19-01-2023,Batsman,Australia,29,5,23,Loss
Player_33,Titans,Football,20-01-2023,Batsman,USA,37,15,62,Draw
Player_43,Storm,Football,21-01-2023,Guard,India,1,3,57,Draw
Player_46,Warriors,Football,22-01-2023,Bowler,Australia,63,10,78,Loss
Player_6,Hawks,Basketball,23-01-2023,Midfielder,Australia,59,8,114,Win
Player_46,Dragons,Football,24-01-2023,Midfielder,India,20,2,99,Win
Player_45,Dragons,Basketball,25-01-2023,Guard,India,32,18,71,Draw
Player_25,Titans,Cricket,26-01-2023,Goalkeeper,USA,75,7,101,Loss
Player_34,Blazers,Basketball,27-01-2023,Forward,Australia,57,4,75,Win
Player_8,Titans,Basketball,28-01-2023,Goalkeeper,USA,21,3,73,Draw
Player_13,Dragons,Football,29-01-2023,Forward,USA,88,5,79,Loss
Player_20,Storm,Football,30-01-2023,Guard,Germany,48,1,72,Loss
Player_20,Panthers,Football,31-01-2023,Forward,India,90,19,82,Win
Player_45,Warriors,Basketball,01-02-2023,Batsman,UK,58,10,42,Win
Player_11,Storm,Cricket,02-02-2023,Bowler,Australia,41,3,50,Win
Player_40,Dragons,Cricket,03-02-2023,Bowler,Australia,91,14,98,Loss
Player_26,Falcons,Basketball,04-02-2023,Batsman,India,59,5,57,Loss
Player_47,Dragons,Cricket,05-02-2023,Forward,UK,79,16,22,Loss
Player_22,Hawks,Football,06-02-2023,Goalkeeper,Brazil,14,5,82,Loss
Player_34,Blazers,Cricket,07-02-2023,Forward,Brazil,61,18,86,Loss
Player_19,Hawks,Football,08-02-2023,Batsman,USA,61,1,40,Loss
Player_37,Falcons,Cricket,09-02-2023,Batsman,India,46,14,114,Loss
Player_15,Warriors,Football,10-02-2023,Forward,Germany,61,10,84,Draw
Player_41,Storm,Cricket,11-02-2023,Guard,India,50,7,77,Loss
Player_44,Falcons,Cricket,12-02-2023,Forward,Brazil,54,18,107,Loss
Player_48,Titans,Basketball,13-02-2023,Guard,Germany,63,12,111,Loss
Player_6,Hawks,Football,14-02-2023,Guard,USA,2,11,119,Win
Player_40,Panthers,Cricket,15-02-2023,Bowler,India,50,4,13,Win
Player_36,Dragons,Basketball,16-02-2023,Guard,Australia,6,5,111,Win
Player_30,Warriors,Basketball,17-02-2023,Goalkeeper,Germany,20,3,28,Loss
Player_18,Storm,Basketball,18-02-2023,Midfielder,Germany,72,18,79,Draw
Player_43,Warriors,Basketball,19-02-2023,Bowler,Brazil,38,19,107,Loss
Player_2,Panthers,Cricket,20-02-2023,Batsman,UK,17,0,91,Draw
Player_2,Warriors,Basketball,21-02-2023,Guard,Germany,3,19,22,Win
Player_24,Titans,Cricket,22-02-2023,Guard,India,88,16,114,Win
Player_41,Titans,Football,23-02-2023,Guard,India,59,11,32,Draw
Player_19,Titans,Basketball,24-02-2023,Goalkeeper,Australia,13,14,92,Loss
Player_43,Hawks,Cricket,25-02-2023,Batsman,Australia,8,0,118,Loss
Player_31,Panthers,Cricket,26-02-2023,Forward,UK,89,13,84,Win
Player_24,Storm,Football,27-02-2023,Forward,UK,52,5,10,Draw
Player_5,Hawks,Cricket,28-02-2023,Goalkeeper,UK,1,4,97,Loss
Player_16,Warriors,Cricket,01-03-2023,Forward,Brazil,83,10,63,Win
Player_25,Falcons,Basketball,02-03-2023,Forward,Germany,91,3,80,Win
Player_43,Storm,Cricket,03-03-2023,Goalkeeper,Germany,59,12,98,Win
Player_22,Falcons,Basketball,04-03-2023,Guard,Brazil,70,10,94,Draw
Player_44,Dragons,Basketball,05-03-2023,Guard,Australia,43,2,24,Loss
Player_27,Hawks,Cricket,06-03-2023,Batsman,India,7,0,74,Win
Player_8,Hawks,Football,07-03-2023,Guard,India,46,5,85,Draw
Player_44,Panthers,Basketball,08-03-2023,Forward,Germany,34,17,80,Win
Player_45,Warriors,Football,09-03-2023,Batsman,Australia,77,9,24,Loss
Player_18,Storm,Football,10-03-2023,Midfielder,India,80,4,30,Loss
Player_28,Warriors,Basketball,11-03-2023,Midfielder,UK,35,9,28,Loss
Player_36,Panthers,Basketball,12-03-2023,Forward,USA,49,11,69,Draw
Player_10,Blazers,Cricket,13-03-2023,Midfielder,USA,3,1,102,Win
Player_3,Warriors,Football,14-03-2023,Batsman,UK,1,12,98,Win
Player_6,Titans,Basketball,15-03-2023,Forward,USA,5,7,42,Loss
Player_11,Warriors,Football,16-03-2023,Guard,Australia,53,1,58,Loss
Player_26,Falcons,Football,17-03-2023,Goalkeeper,Germany,3,19,105,Draw
Player_2,Panthers,Basketball,18-03-2023,Guard,India,53,0,44,Win
Player_26,Panthers,Football,19-03-2023,Bowler,India,92,4,53,Win
Player_6,Warriors,Cricket,20-03-2023,Goalkeeper,UK,62,8,111,Draw
Player_15,Storm,Football,21-03-2023,Midfielder,UK,17,16,99,Draw
